id,name_en,name_ko,name_ko_alt,type,lat,lng,verses,status
af936bd,Valley of Salt,Valley of Salt,,special,31.050508,35.406271,사무엘하 8:13; 열왕기하 14:7; 역대상 18:12; 역대하 25:11; 시편 60:1,확인 필요
a402ee4,Valley of Shaveh,Valley of Shaveh,,골짜기,31.767198,35.235985,창세기 14:17,확인 필요
a01769f,Valley of Shittim,Valley of Shittim,,강,31.66715,35.44856,요엘 3:18,확인 필요
a4a5cce,Valley of Siddim,Valley of Siddim,,골짜기,31.20849,35.449223,창세기 14:3; 창세기 14:8; 창세기 14:10,확인 필요
a339971,Valley of Sorek,Valley of Sorek,,골짜기,31.755833,35.05,사사기 16:4,확인 필요
aa24fbf,Valley of Succoth,Valley of Succoth,,골짜기,32.1966,35.62118,시편 60:6; 시편 108:7,확인 필요
af4c2cd,Valley of the Arnon,Valley of the Arnon,,골짜기,31.465833,35.573333,신명기 2:24; 신명기 2:36; 신명기 3:8; 신명기 3:12; 신명기 3:16,확인 필요
a7c5927,Valley of Zeboim,Valley of Zeboim,,골짜기,31.83498,35.37942,사무엘상 13:18,확인 필요
a6bf8d4,Valley of Zephathah,Valley of Zephathah,,special,31.610556,34.953056,역대하 14:10,확인 필요
aaa2177,Valley of Zered,Valley of Zered,,골짜기,31.02701,35.48533,민수기 21:12,확인 필요
adec54b,Waheb,Waheb,,campsite,31.665609,35.81749,민수기 21:14,확인 필요
a84c559,Washer’s Field,Washer’s Field,,field,31.767198,35.235985,열왕기하 18:17; 이사야 7:3; 이사야 36:2,확인 필요
a0293ff,Water Gate,Water Gate,,gate,31.776667,35.234167,느헤미야 3:26; 느헤미야 8:1; 느헤미야 8:3; 느헤미야 8:16; 느헤미야 12:37,확인 필요
a70e38b,Waters of Jericho,Waters of Jericho,,강,31.870489,35.444761,여호수아 16:1,확인 필요
a6ee047,Waters of Merom,Waters of Merom,,body of water,32.978889,35.437778,여호수아 11:5; 여호수아 11:7,확인 필요
a207807,Way of Holiness,Way of Holiness,,road,31.776667,35.234167,이사야 35:8,확인 필요
a55c970,Way of the Red Sea,Way of the Red Sea,,road,29.727222,34.998333,민수기 14:25; 민수기 21:4; 신명기 1:40; 신명기 2:1,확인 필요
a61d405,West Gate,West Gate,,gate,31.776667,35.234167,역대상 26:16,확인 필요
ae11a0d,Wilderness of Maon,Wilderness of Maon,,지역,31.409448,35.133839,사무엘상 23:24; 사무엘상 23:25,확인 필요
ae50cf1,Wilderness of Sinai,Wilderness of Sinai,,지역,28.539722,33.973333,Ex 19:1; Ex 19:2; 레위기 7:38; 민수기 1:1; 민수기 1:19,확인 필요
a50057d,Wilderness of Ziph,Wilderness of Ziph,,지역,31.47475,35.13514,사무엘상 23:14; 사무엘상 23:15; 사무엘상 26:2,확인 필요
adea7b0,Wildgoats’ Rocks,Wildgoats’ Rocks,,natural area,31.45,35.383333,사무엘상 24:2,확인 필요
a78b87e,Yiron,Yiron,,도시,33.083333,35.416667,여호수아 19:38,확인 필요
a4e7fa8,Zaanan,Zaanan,,도시,31.565278,34.849167,미가 1:11,확인 필요
a0c4f5e,Zaanannim,Zaanannim,,도시,32.72113,35.41064,여호수아 19:33; 사사기 4:11,확인 필요
a74c453,Zair,Zair,,도시,31.036904,35.487657,열왕기하 8:21,확인 필요
a93ed69,Zalmon,Zalmon,,산,32.666667,36.733333,시편 68:14,확인 필요
a1c6a50,Zalmonah,Zalmonah,,campsite,30.81217,35.37339,민수기 33:41; 민수기 33:42,확인 필요
a28f432,Zanoah 1,Zanoah 1,,도시,31.71944,35.00129,여호수아 15:34; 느헤미야 3:13; 느헤미야 11:30,확인 필요
afe28fe,Zanoah 2,Zanoah 2,,도시,31.45015,35.053525,여호수아 15:56,확인 필요
ab49753,Zaphon 1,Zaphon 1,,도시,32.26769,35.577241,여호수아 13:27; 사사기 12:1,확인 필요
a78e845,Zaphon 2,Zaphon 2,,산,35.9525,35.969306,욥기 26:7; 시편 48:2; 이사야 14:13,확인 필요
a6fa2d3,Zarephath,Zarephath,,도시,33.464227,35.295136,열왕기상 17:9; 열왕기상 17:10; 오바댜 1:20; 누가복음 4:26,확인 필요
afa84ca,Zarethan,Zarethan,,도시,32.26769,35.577241,여호수아 3:16; 열왕기상 4:12; 열왕기상 7:46,확인 필요
abfbfb9,Zeboiim,Zeboiim,,도시,31.20849,35.449223,창세기 10:19; 창세기 14:2; 창세기 14:8; 신명기 29:23; 호세아 11:8,확인 필요
a7e3823,Zeboim,Zeboim,,도시,32.002953,34.895503,느헤미야 11:34,확인 필요
aab92ca,Zedad,Zedad,,도시,34.313456,36.924189,민수기 34:8; 에스겔 47:15,확인 필요
a597dd0,Zela,Zela,,도시,31.802528,35.209636,여호수아 18:28; 사무엘하 21:14,확인 필요
a811a10,Zemaraim,Zemaraim,,도시,31.90879,35.2117,여호수아 18:22,확인 필요
a5e1150,Zenan,Zenan,,도시,31.565278,34.849167,여호수아 15:37,확인 필요
a6163e0,Zephath,Zephath,,도시,31.212285,34.958277,사사기 1:17,확인 필요
